gene_id,variance,mean_expr,n_samples
FBgn0039241,0.8088085952911314,7.008250623544823,41
FBgn0085753,0.8064453174469819,9.34938615265792,41
FBgn0267519,0.805921669304778,9.205384251270553,41
FBgn0041182,0.8047223290809118,9.034304534504036,41
FBgn0035476,0.8019644312909253,4.150217684573523,41
FBgn0002571,0.8011377102386007,5.757507380136507,41
FBgn0002570,0.7991150756200016,9.926221439447717,41
FBgn0037906,0.7972518984315886,5.86881013372476,41
FBgn0039873,0.7971281499416445,6.991000207916804,41
FBgn0000053,0.789359545460205,7.183111036029068,41
FBgn0051089,0.7861005937594542,1.4641947330561547,41
FBgn0003358,0.7831010794476398,6.402408450464876,41
FBgn0031470,0.7827131762745255,1.4141052551986018,41
FBgn0040653,0.7825498638267039,9.090302521263954,41
FBgn0034741,0.7821349356642664,5.066041041454454,41
FBgn0030148,0.7798419979815325,3.7308418334920685,41
FBgn0050090,0.7785682518274563,3.0976379203935704,41
FBgn0016076,0.7773387147567202,6.6272017783479304,41
FBgn0028841,0.772709751699845,3.015008239815352,41
FBgn0283427,0.7607794544773626,10.504393402170036,41
FBgn0262366,0.7583893140277208,2.954536201338866,41
FBgn0033733,0.7484531145647855,7.172865224813827,41
FBgn0032067,0.7476175456163526,1.0572452624892905,41
FBgn0033297,0.7468560170715179,8.006231160442404,41
FBgn0261567,0.7440792220052168,0.5332708670496479,41
FBgn0267513,0.7431263693900654,1.1188818142274979,41
FBgn0038257,0.7400799128118404,8.557044983241978,41
FBgn0031389,0.7361714120268561,3.2734810583287843,41
FBgn0034663,0.7342107357959086,8.255836561743333,41
FBgn0052107,0.7312158922295742,2.7394045872146213,41
FBgn0038449,0.7248199169646709,5.550292344579455,41
FBgn0041183,0.7245982006492844,1.0895487413377258,41
FBgn0031033,0.7237862454482215,3.2315166241069373,41
FBgn0038733,0.7229361358564621,5.560094387359171,41
FBgn0035355,0.7221566391629108,4.574274347211559,41
FBgn0039769,0.717475121798214,5.05709180451128,41
FBgn0015570,0.713010332826981,4.021080685404,41
FBgn0034647,0.7095983287308281,5.021518405939621,41
FBgn0020385,0.7087060861539223,7.894864684062792,41
FBgn0035176,0.7077693800335638,5.626281467457053,41
FBgn0039759,0.7076172355524604,3.17785757297874,41
FBgn0030098,0.7054279907885227,5.795722538073962,41
FBgn0050091,0.7028355744274775,1.146884885904338,41
FBgn0014859,0.6986148629198489,3.6346696193239905,41
FBgn0043791,0.6980649428692632,2.5650893240597252,41
FBgn0034664,0.6777847419115628,6.514266852929104,41
FBgn0038160,0.6683591600314546,2.6337353346176795,41
FBgn0085813,0.6677515921218643,10.197929500169217,41
FBgn0000406,0.6662517731007203,8.802046032162098,41
FBgn0032639,0.6633043450262173,1.9278559807543314,41
FBgn0037635,0.662470338758548,3.8632333642966254,41
FBgn0263080,0.6618267214765241,3.53299787925714,41
FBgn0010040,0.658107491820243,1.3113127003501432,41
FBgn0052284,0.6538479498182482,2.4799604633710137,41
FBgn0035356,0.6524930458061056,5.688676114466269,41
FBgn0026755,0.6523477355067334,3.8823095478012566,41
FBgn0053470,0.6398891034010914,10.095984430170375,41
FBgn0283462,0.6398812528058911,10.095987403314606,41
FBgn0262146,0.6384038092897838,4.5039212354035065,41
FBgn0010042,0.6301213674499644,2.04616321301475,41
